Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
26-05-2023,"3,293.50","3,338.65","3,291.00","3,328.90",593.03,103741,1791115
25-05-2023,"3,294.00","3,306.00","3,267.10","3,293.50",451.96,76662,1374917
24-05-2023,"3,276.00","3,317.20","3,276.00","3,303.35",335.75,57423,1016555
23-05-2023,"3,306.00","3,327.95","3,290.10","3,297.05",558.57,140257,1687418
22-05-2023,"3,230.00","3,308.45","3,217.05","3,298.70",436.35,116693,1333243
19-05-2023,"3,210.00","3,234.50","3,203.05","3,222.85",371.08,74505,1152449
18-05-2023,"3,225.95","3,228.95","3,195.00","3,199.85",438.71,96133,1369364
17-05-2023,"3,255.95","3,280.00","3,198.25","3,208.70",511.09,132490,1588815
16-05-2023,"3,256.20","3,285.00","3,250.45","3,258.15",322.19,84131,986306
15-05-2023,"3,284.00","3,292.00","3,248.35","3,255.05",376.47,84958,1150390
12-05-2023,"3,279.15","3,290.00","3,260.00","3,274.30",336.41,96840,1027479
11-05-2023,"3,309.00","3,309.70","3,272.00","3,282.15",566.31,124781,1719623
10-05-2023,"3,290.00","3,306.50","3,266.05","3,286.80",512.72,93564,1559987
09-05-2023,"3,252.60","3,298.00","3,246.00","3,283.25",361.88,72883,1107375
08-05-2023,"3,245.00","3,254.85","3,231.30","3,250.60",301.25,75785,928235
05-05-2023,"3,220.00","3,244.00","3,210.05","3,230.70",551.73,97481,1710027
04-05-2023,"3,180.15","3,224.45","3,178.00","3,220.70",627.03,105190,1953253
03-05-2023,"3,216.00","3,216.00","3,173.15","3,179.90",786.09,138897,2468285
02-05-2023,"3,235.00","3,235.00","3,210.00","3,219.40",747.94,134310,2321159
28-04-2023,"3,200.40","3,227.25","3,196.25","3,219.25",941.87,174975,2931312
27-04-2023,"3,185.00","3,199.20","3,170.65","3,187.95",774.86,113044,2434446
26-04-2023,"3,181.00","3,208.40","3,181.00","3,198.15",639.60,112753,2000029
25-04-2023,"3,183.00","3,191.20","3,147.50","3,176.00",643.00,88772,2024090
24-04-2023,"3,151.10","3,180.95","3,126.15","3,174.80",517.11,97265,1640676
21-04-2023,"3,110.00","3,164.45","3,100.80","3,160.85",604.90,98768,1929184
20-04-2023,"3,090.00","3,113.00","3,078.00","3,104.80",748.81,121048,2419999
19-04-2023,"3,130.75","3,140.00","3,071.50","3,089.60","1,021.94",171133,3298034
18-04-2023,"3,154.95","3,156.85","3,110.60","3,130.75",818.59,132615,2617302
17-04-2023,"3,134.10","3,163.40","3,070.25","3,139.50","1,712.72",254319,5505048
13-04-2023,"3,210.00","3,230.00","3,180.00","3,188.85","1,333.06",192421,4174070
12-04-2023,"3,227.95","3,260.95","3,199.00","3,241.65",781.54,121292,2417727
11-04-2023,"3,264.00","3,272.95","3,192.15","3,213.80",757.22,118593,2348779
10-04-2023,"3,220.00","3,272.00","3,215.00","3,263.40",716.34,102711,2203187
06-04-2023,"3,225.00","3,257.35","3,215.00","3,220.70",550.08,76885,1703464
05-04-2023,"3,185.50","3,264.35","3,185.50","3,239.80",860.47,132453,2655065
03-04-2023,"3,224.95","3,224.95","3,173.75","3,200.00",485.67,142863,1521830
31-03-2023,"3,189.95","3,213.00","3,152.00","3,205.90",759.90,124442,2382581
29-03-2023,"3,129.00","3,150.00","3,104.10","3,138.90",544.00,113706,1740616
28-03-2023,"3,127.00","3,149.55","3,110.15","3,115.90",408.00,75814,1303530
27-03-2023,"3,135.00","3,152.75","3,106.00","3,122.30",477.69,87684,1524217
24-03-2023,"3,148.90","3,170.00","3,106.00","3,120.50",418.07,99584,1329577
23-03-2023,"3,114.90","3,146.35","3,101.00","3,124.65",429.28,94843,1372218
22-03-2023,"3,130.05","3,143.50","3,106.10","3,130.80",351.16,85984,1123939
21-03-2023,"3,143.30","3,156.75","3,097.45","3,106.10",565.99,116265,1815297
20-03-2023,"3,169.65","3,169.65","3,095.05","3,143.30",715.55,186340,2289468
17-03-2023,"3,150.50","3,221.40","3,144.00","3,179.30","2,142.55",285153,6739966
16-03-2023,"3,208.00","3,219.80","3,172.00","3,185.00",607.15,170243,1901060
15-03-2023,"3,250.00","3,260.35","3,192.00","3,198.90",574.39,165162,1780522
14-03-2023,"3,280.00","3,304.40","3,209.40","3,214.95",866.51,151178,2670334
13-03-2023,"3,333.00","3,369.80","3,272.00","3,281.95",629.89,120533,1901233
10-03-2023,"3,312.90","3,337.25","3,290.00","3,331.00",339.96,99387,1024404
09-03-2023,"3,385.00","3,385.00","3,330.85","3,336.85",552.98,108315,1648500
08-03-2023,"3,364.00","3,396.00","3,330.85","3,390.40",621.59,129008,1844590
06-03-2023,"3,361.90","3,404.95","3,359.00","3,371.85",451.17,119719,1334132
03-03-2023,"3,354.00","3,358.00","3,331.10","3,342.15",348.98,89004,1043190
02-03-2023,"3,361.00","3,369.90","3,318.00","3,321.45",518.49,112065,1556538
01-03-2023,"3,323.00","3,389.00","3,315.00","3,385.70",562.15,105561,1669307
28-02-2023,"3,328.50","3,392.00","3,299.90","3,312.85","1,368.69",147643,4116217
27-02-2023,"3,390.00","3,390.00","3,316.00","3,331.85",376.39,88957,1128022
24-02-2023,"3,422.50","3,433.95","3,382.30","3,400.45",333.45,79457,977592
23-02-2023,"3,421.00","3,452.40","3,408.00","3,413.80",494.25,135484,1441570
22-02-2023,"3,414.95","3,447.00","3,395.00","3,401.55",416.29,104357,1218430
21-02-2023,"3,494.00","3,508.90","3,444.75","3,451.00",395.77,77929,1139541
20-02-2023,"3,502.00","3,522.00","3,475.05","3,487.30",452.71,79179,1296082
17-02-2023,"3,526.15","3,538.90","3,490.00","3,501.15",373.06,90867,1061369
16-02-2023,"3,527.20","3,575.00","3,527.00","3,558.05",576.28,110390,1618931
